product_id,Name,Published,Is_featured?,Short_description,Description,Date_sale price_starts,Date_sale_price_ends,Tax_class,In_stock,Stock,Low_stock_amount,Allow_customer_reviews,Sale_price,Regular_price,Cost,Margin,Categories,product_image
200258,Es Energy Drink 500Ml,0,0,,,,,vat-20,1,5,2,1,,0.89,0.492,81%,Beverages,
200259,Es Summer Ets Juice 500Ml,0,0,,,,,vat-20,0,0,2,1,,0.89,0.53,68%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/04/ES-summer-Ets-Juice-500ml.jpg
200260,Pepsi Diet Can 330Ml,0,0,,,,,vat-20,1,24,2,1,,0.89,0.41,117%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/04/Pepsi-Diet-Can-330ml.webp
200261,Fruit Shoot Apple / Blackcurrent 275Ml,0,0,,,,,vat-20,1,12,2,1,,0.85,0.51,67%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/04/Fruit-Shoot-Apple-Blackcurrent-275ml.jpg
200262,Pepsi Regular 330Ml,0,0,,,,,vat-20,1,24,2,1,,0.8,0.4,100%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/04/Pepsi-Regular-330ml.jpg
200263,Boost Energy Original 250Ml,0,0,,,,,vat-20,1,5,2,1,,0.75,0.408,84%,Beverages,
200264,Evian Water 500Ml,0,0,,,,,vat-20,1,5,2,1,,0.75,0.325,131%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/06/images.jpeg
200265,F Anta Fruit Twist 330Ml,0,0,,,,,vat-20,1,24,2,1,,0.75,0.46,63%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/04/fanta-frut-twist.jpg
200266,Pepsi Max Can 330Ml,0,0,,,,,vat-20,1,24,2,1,,0.75,0.41,83%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/04/Pepsi-Max-Can-330ml.jpg
200267,Quice Apple Juice 250Ml,0,0,,,,,zero-rate,1,5,2,1,,0.75,0.25,200%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/06/download-14.jpeg
200268,Quice Fruit Punch Juice 250Ml,0,0,,,,,zero-rate,1,5,2,1,,0.75,0.25,200%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/06/download-28.jpeg
200269,Quice Mango Juice 250Ml,0,0,,,,,zero-rate,1,5,2,1,,0.75,0.25,200%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/06/download-31.jpeg
200270,Tango Orange Can 330Ml,0,0,,,,,vat-20,1,24,2,1,,0.75,0.41,83%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/04/Orange-Tango_2048x.webp
200271,Volvic Still Water 500Ml,0,0,,,,,vat-20,1,24,2,1,,0.69,0.32,116%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/04/volvic-still-mineral-water-24x-500ml-1.webp
200272,Es Citrus Jce Drink 500Ml,0,0,,,,,vat-20,1,12,2,1,,0.65,0.43,51%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/04/ES-Citrus-Jce-Drink-500ml.jpg
200273,Princes Apple Paper Straws 200Ml,0,0,,,,,vat-20,1,27,2,1,,0.65,0.43,51%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/04/Princes-Apple-Paper-Straws-200ml.jpg
200274,Princes Orange Paper Straws 200Ml,0,0,,,,,vat-20,1,27,2,1,,0.65,0.38,71%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/04/Princes-Orange-Paper-Straws-200ml.webp
200275,Ribena Blackcurrant 250Ml,0,0,,,,,vat-20,1,24,2,1,,0.65,0.44,48%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/04/ribena.jpg
200276,Ribena Strawberry 250Ml,0,0,,,,,vat-20,1,24,2,1,,0.65,0.44,48%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/04/Ribena-Strawberry-250ml.png
200277,Fruit Shoot Orange 200Ml,0,0,,,,,vat-20,1,5,2,1,,0.6,0.396,52%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/06/download-9.jpeg
200278,Aqua Pura Sparkling Water 500Ml,0,0,,,,,vat-20,1,5,2,1,,0.59,0.24949,136%,Beverages,
200279,Avant Water 500Ml,0,0,,,,,vat-20,1,5,2,1,,0.5,0.17449,187%,Beverages,
200280,Es Apple Juice 200Ml,0,0,,,,,vat-20,1,24,2,1,,0.5,0.33,52%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/04/ES-Apple-Juice-200ml.jpg
200281,Kirkland Spring Water 500Ml,0,0,,,,,vat-20,1,5,2,1,,0.5,0.18,178%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/06/download-10.jpeg
200282,Big Time Bgum Paper Straw 200Ml,0,0,,,,,vat-20,1,24,2,1,,0.29,0.12,142%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/04/Big-Time-BGum-paper-Straw-200ml.jpg
200283,Big Time Blkcrnt Paper Straw 200Ml,0,0,,,,,vat-20,1,24,2,1,,0.29,0.12,142%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/04/Big-Time-Blkcrnt-paper-Straw-200ml.jpg
200284,Maltesers Shake 350Ml,0,0,,,,,zero-rate,1,8,2,1,,1.49,0.81,84%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/04/MALTESERS-SHAKE-1.49-350ml.jpg
200285,Mogu Mogu Nata De Coco Mango 320Ml,0,0,,,,,vat-20,1,24,2,1,,1.29,0.79,63%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/04/Mogu-Mogu-Nata-De-Coco-Mango-320ml.jpg
200286,Aloe Hawain 500ml,0,0,,,,,vat-20,1,5,2,1,,0.99,0.72,38%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/06/Aloe-Hawain-500ml.webp
200287,Aqua Carpatica Still Water 1lt,0,0,,,,,vat-20,1,5,2,1,,0.99,0.63,57%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/06/Aqua-Carpatica-Still-Water-1lt.jpeg
200288,Smart Water 600ml,0,0,,,,,vat-20,1,5,2,1,,0.79,0.49476,60%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/06/Smart-Water-600ml.jpeg
200289,Pepsi Reg 1.5lt,0,0,,,,,vat-20,1,6,2,1,,1.99,1.398,42%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/07/pepsi-soft-drink-pepsi-cola-original-soft-drink-disposable-pet-bottle-1-5lt-36184856789218.webp
200290,Limca Bottles 300Ml,0,0,,,,,vat-20,1,2,2,1,,1.5,0.66,127%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/09/download-11.jpeg
200291,Tropical Sun Coconut Water 300Ml,0,0,,,,,vat-20,1,3,2,1,,1.79,0.83,116%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/09/Tropical-Sun-Coconut-Water-300Ml.jpg
200292,Vita Coco Natural Coconut Water 1000ml,0,0,,,,,vat-20,1,3,2,1,,2.99,1.53,95%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/09/Vita-Coco-Natural-Coconut-Water-1000ml.jpeg
200293,Vita Coco Natural Coconut Water 330ml,0,0,,,,,zero-rate,1,3,2,1,,1.25,0.62,102%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/09/Vita-Coco-Natural-Coconut-Water-330ml.webp
200294,Kashmira Masala Jeera Soda 250ml,0,0,,,,,zero-rate,1,5,2,1,,1.49,0.85,75%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/10/Kashmira-Masala-Jeera-Soda-250ml.jpeg
200295,TAS sugarcane drink 310ml,0,0,,,,,vat-20,1,5,2,1,,0.99,0.5,98%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/10/TAS-sugarcane-drink-310ml.jpg
200296,Monster Ultra Black 500Ml,0,0,,,,,vat-20,1,5,2,1,,1.55,1.044,48%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/10/download-29-1.jpeg
200297,Bulldog Energy Drink 250Ml,0,0,,,,,vat-20,1,5,2,1,,0.49,0.2484,97%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/10/download-28-1.jpeg
200298,Voss Water Glass 800Ml,0,0,,,,,vat-20,1,5,2,1,,2.49,1.5,66%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/10/download-26-1.jpeg
200299,San Pellegrino Pet Water 1Lt,0,0,,,,,vat-20,1,5,2,1,,1.49,1.008,48%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/10/download-25-1.jpeg
200300,Limca P Bottles 300Ml,0,0,,,,,vat-20,1,5,2,1,,1.19,0.6,98%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/10/images-9.jpeg
