Id,Name,Published,Isfeatured,Shortdescription,Description,Datesalepricestarts,Datesalepriceends,TaxClass,Instock,Stock,Lowstockamount,Allowcustomerreviews,SalePrice,Regularprice,CostPrice,Margin,Categories,product_image
200315,Tetley Green Tea Lemon 20S,1,0,,,,,20.01,1,5,2,1,1.5,1.75,1.0725,,"Beverages > Tea & Coffee, Groceries > Tea & Coffee",
200316,Tetley T/Bags 40S,1,0,,,,,20.01,1,4,2,1,1.5,1.59,0.83,,"Beverages > Tea & Coffee, Groceries > Tea & Coffee",
200317,Lifestyle Cappuccino 112G,1,0,,,,,20.01,1,5,2,1,1.5,1.19,0.88125,,"Beverages > Tea & Coffee, Groceries > Tea & Coffee",
200318,Brooke Bond Natural Red Label Tea 500g,1,0,,,,,20.01,1,4,2,1,1.5,6.49,4.5,,"Beverages > Tea & Coffee, Groceries > Tea & Coffee",
200319,Tea India Ginger Chai 100g,1,0,,,,,20.01,1,4,2,1,1.5,3.49,2.25,,"Beverages > Tea & Coffee, Groceries > Tea & Coffee",
200320,Cherry Coke 330Ml,0,0,,,,,20.01,1,24,2,1,1.5,0.95,0.6,,"Beverages, Sale",
200321,Cherry Coke 330Ml 2pcs,0,0,,,,,20.01,1,24,2,1,1.5,1.8,1.2,,"Beverages, Sale",
200322,Weetabix 24Pk,0,0,,,,,20.01,1,10,2,1,1.5,3.89,2.78,,Breakfast,
200323,Kelloggs Coco Pops 480G,0,0,,,,,20.01,1,5,2,1,1.5,3.29,2.35,,Breakfast,
200324,Kelloggs Crunchy Nut 500G,0,0,,,,,20.01,1,8,2,1,1.5,3.29,2.46,,Breakfast,
200325,Kelloggs Frosties 500G,0,0,,,,,20.01,1,8,2,1,1.5,3.29,2.46,,Breakfast,
200326,Kelloggs Rice Krispies 510G,0,0,,,,,20.01,1,5,2,1,1.5,3.29,2.47,,Breakfast,
200327,Kigs Rice Krispies 510G,0,0,,,,,20.01,1,6,2,1,1.5,3.29,2.47,,Breakfast,
200328,Cl 4In Seeded Burger Buns 6X58G,0,0,,,,,20.01,0,0,2,1,1.5,2.99,2.1725,,Breakfast,
200329,Kellogg's Crunchy Nut Granola 380G,0,0,,,,,20.01,1,5,2,1,1.5,2.99,2.3,,Breakfast,
200330,Kelloggs Cornflakes 500G,0,0,,,,,20.01,1,7,2,1,1.5,2.99,2.24,,Breakfast,
200331,Kelloggs Pop Tarts Choctstic 8 X 48G,0,0,,,,,20.01,1,6,2,1,1.5,2.99,2.23,,Breakfast,
200332,Desi Paneer 226G,0,0,,,,,20.01,0,0,2,1,1.5,2.69,1.89,,Breakfast,
200333,Clover 500G,0,0,,,,,20.01,0,0,2,1,1.5,2.59,2.19875,,Breakfast,
200334,B St Seeded Burger Buns 6Pc,0,0,,,,,20.01,0,0,2,1,1.5,2.49,1.35,,Breakfast,
200335,B St Seeded Mega Burger Buns 4Pc,0,0,,,,,20.01,0,0,2,1,1.5,2.39,1.35,,Breakfast,
200336,Onken Natural Set Yog 450G,0,0,,,,,20.01,0,0,2,1,1.5,2.09,1.39,,Breakfast,
200337,I Cant Believe Its not butter 450G,0,0,,,,,20.01,0,0,2,1,1.5,2,1.37375,,Breakfast,
200338,Sofra Tortilla 25Cm 630G,0,0,,,,,20.01,0,0,2,1,1.5,1.99,1.59,,Breakfast,
200339,Elephant Atta Chappatis 8Pk,0,0,,,,,20.01,1,3,2,1,1.5,1.85,1.36,,Breakfast,
200340,800G Kingsmill Medium Wholemeal,0,0,,,,,20.01,0,0,2,1,1.5,1.69,1.2,,Breakfast,
200341,800G Kingsmill Thick Wholemeal,0,0,,,,,20.01,0,0,2,1,1.5,1.69,1.2,,Breakfast,
200342,800G Kingsmill Medium 50/50,0,0,,,,,20.01,0,0,2,1,1.5,1.59,1.2,,Breakfast,
200343,800G Kingsmill Thick 50/50,0,0,,,,,20.01,0,0,2,1,1.5,1.59,1.2,,Breakfast,
200344,800G Kingsmill Medium Soft White,0,0,,,,,20.01,0,0,2,1,1.5,1.49,1.15,,Breakfast,
200345,800G Kingsmill Thick Soft White,0,0,,,,,20.01,0,0,2,1,1.5,1.49,1.15,,Breakfast,
200346,Cadbury Milk Chocolate Spread 80G,0,0,,,,,20.01,1,5,2,1,1.5,1.49,1.6296,,Breakfast,
200347,Pitta Bread Flame Baked 6Pc,0,0,,,,,20.01,0,0,2,1,1.5,1.29,0.95,,Breakfast,
200348,B/One Snitch Tuna 160G,0,0,,,,,20.01,1,5,2,1,1.5,0.99,0.68,,Breakfast,
200349,Es Buttery Spread 250G,0,0,,,,,20.01,0,0,2,1,1.5,0.75,0.52437,,Breakfast,
200350,Village Instant Upma Mix 1Kg,0,0,,,,,20.01,0,0,2,1,1.5,2.99,2,,Breakfast,
200351,Pot Noodle Chicken & Mushroom 90G,0,0,,,,,20.01,1,12,2,1,1.5,1.25,0.92,,Breakfast,
200352,Burger Buns 12Pc,0,0,,,,,20.01,0,0,2,1,1.5,3.49,2.4,,Breakfast,
200353,Anil Ragi Semia 450G,1,0,,,,,20.01,1,3,2,1,1.5,1.89,1.35,,Breakfast,
200354,Bikano Suji Rusk 600g,1,0,,,,,20.01,1,4,2,1,1.5,2.99,2.08,,Breakfast,
200355,Indomie Chicken Noodles 75g,1,0,,,,,20.01,1,4,2,1,1.5,0.59,0.31,,Breakfast,
200356,Kissan Mango Jam 500g,1,0,,,,,20.01,1,4,2,1,1.5,3.25,2.25,,Breakfast,
200357,Md Mixed Fruit Jam 500G,1,0,,,,,20.01,1,1,2,1,1.5,2.99,1.83,,Breakfast,
200358,Saras Elachi rusk 200g,1,0,,,,,20.01,1,3,2,1,1.5,1.19,0.75,,Breakfast,
200359,Saras Toast Sugarfree 200G,1,0,,,,,20.01,0,0,2,1,1.5,1.19,0.9,,Breakfast,
200360,Saras Toast Suji 200G,1,0,,,,,20.01,0,0,2,1,1.5,0.99,0.7,,Breakfast,
200361,Saras Khari Methi  200G,1,0,,,,,20.01,0,0,2,1,1.5,1.49,1,,Breakfast,
200362,Saras Khari Masala  200G,1,0,,,,,20.01,0,0,2,1,1.5,1.49,1,,Breakfast,
200363,Parle Premium Rusk 600G,1,0,,,,,20.01,1,2,2,1,1.5,2.99,2,,Breakfast,
200364,Kissan Fruit Mix Jam 500G,1,0,,,,,20.01,1,5,2,1,1.5,3.25,2.2,,Breakfast,
